,sentiment,company,text
0,neutral,Virgin America,say
1,positive,Virgin America,plus added commercial experience tacky
2,neutral,Virgin America,today must mean need take another trip
3,negative,Virgin America,really aggressive blast obnoxious entertainment guest face little recourse
4,negative,Virgin America,really big bad thing
5,negative,Virgin America,seriously would pay seat play really bad thing va
6,positive,Virgin America,yes nearly every vx ear worm away smile
7,neutral,Virgin America,really missed prime opportunity men without hat parody
8,positive,Virgin America,well laugh
9,positive,Virgin America,amaze arrive hour early good
10,neutral,Virgin America,know suicide second lead cause death among teen
11,positive,Virgin America,heart pretty graphic much better minimal iconography laugh
12,positive,Virgin America,great deal already think trip even trip yet p
13,positive,Virgin America,virginmedia fabulous seductive sky take stress away travel
14,positive,Virgin America,thanks
15,negative,Virgin America,sfo pdx schedule still mia
16,positive,Virgin America,excite first cross country lax mco heard nothing great thing virgin america
17,negative,Virgin America,flew nyc sfo last week fully sit seat due two large gentleman either side
18,positive,Virgin America,red heart smile face thumb
19,positive,Virgin America,know would amazingly awesome bos fll please want
20,negative,Virgin America,first fare may three carrier seat available select
21,positive,Virgin America,love graphic
22,positive,Virgin America,love hipster innovation feel good brand
23,neutral,Virgin America,bos las non stop permanently anytime soon
24,negative,Virgin America,guy mess seat reserve seating friend guy give seat away pout face want free internet
25,negative,Virgin America,status match program apply three week call email response
26,negative,Virgin America,happen ur vegan food option least say ur site know able eat anything next hr fail
27,neutral,Virgin America,miss worry together soon
28,negative,Virgin America,noair worstflightever roast sfotobos
29,neutral,Virgin America,lax ewr middle seat red eye noob maneuver sendambien andchexmix
30,negative,Virgin America,hi bked cool birthday trip add elevate cause enter middle name book problem cry face
31,neutral,Virgin America,hour operation club sfo post online current
32,negative,Virgin America,leave expensive headphone iad lax today seat one answer l f number lax
33,negative,Virgin America,await return phone call would prefer use online self service option shock
34,positive,Virgin America,great news america could start hawaii end year via
35,neutral,Virgin America,nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience
36,positive,Virgin America,moodlighting way best experience ever cool calm purple heart airplane moodlitmonday
37,positive,Virgin America,freddieawards do do best airline around hand
38,neutral,Virgin America,book hawaii
39,negative,Virgin America,chat support malfunction site
40,positive,Virgin America,view downtown los angeles hollywood sign beyond rain mountain
41,negative,Virgin America,hey first flyer next week excite hard add elevate account
42,neutral,Virgin America,plz win bid upgrade lax sea wine glass thumbs seat airplane
