,sentiment,company,text
0,neutral,Virgin America,what say
1,positive,Virgin America,plus you add commercial to the experience tacky
2,neutral,Virgin America,i do today must mean i need to take another trip
3,negative,Virgin America,it really aggressive to blast obnoxious entertainment in your guest face they have little recourse
4,negative,Virgin America,and it a really big bad thing about it
5,negative,Virgin America,seriously would pay a for seat that do have this playing it really the only bad thing about va
6,positive,Virgin America,yes nearly every i vx this ear worm win away smile
7,neutral,Virgin America,really miss a prime opportunity for men without hat parody there
8,positive,Virgin America,well i didntbut now i do laugh
9,positive,Virgin America,it be amaze and arrive an hour early you too good to me
10,neutral,Virgin America,do you know that suicide be the second leading cause of death among teen
11,positive,Virgin America,i heart pretty graphic so much better than minimal iconography laugh
12,positive,Virgin America,this be such a great deal already think about my trip to i have even on my trip yet p
13,positive,Virgin America,virginmedia i m your fabulous seductive sky again u take all the stress away from travel
14,positive,Virgin America,thanks
15,negative,Virgin America,sfopdx schedule be still mia
16,positive,Virgin America,so excited for my first cross country lax to mco i hear nothing but great thing about virgin america
17,negative,Virgin America,i from nyc to sfo last week and could fully sit in my seat due to two large gentleman on either side of me
18,positive,Virgin America,i red heart smile face thumb up
19,positive,Virgin America,you know what would be amazingly awesome bosfll please i want to with only you
20,negative,Virgin America,why be your first fare in may over three more than other carrier when all seat be available to select
21,positive,Virgin America,i love this graphic
22,positive,Virgin America,i love the hipster innovation you be a feel good brand
23,neutral,Virgin America,will you be bos la non stop permanently anytime soon
24,negative,Virgin America,you guy mess up my seating i reserve seat with my friend and you guy give my seat away pout face i want free internet
25,negative,Virgin America,status match program i apply and it be three week call and email with no response
26,negative,Virgin America,what happen ur vegan food option at least say on ur site so i know i wo be able eat anything for next hrs fail
27,neutral,Virgin America,do you miss me do worry we ll be together very soon
28,negative,Virgin America,noair worstflightever roasted sfotobos
29,neutral,Virgin America,lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix
30,negative,Virgin America,hi i just bked a cool birthday trip with you but i ca add my elevate no cause i enter my middle name during book problem cry face
31,neutral,Virgin America,be the hour of operation for the club at sfo that be post online current
32,negative,Virgin America,leave expensive headphone on iad to lax today seat no one answer l f number at lax
33,negative,Virgin America,await my return phone call just would prefer to use your online selfservice option shock
34,positive,Virgin America,this be great news america could start to hawaii by end of year via
35,neutral,Virgin America,nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience
36,positive,Virgin America,moodlighting be the only way to best experience ever cool and calming purple heart airplane moodlitmonday
37,positive,Virgin America,freddieawards do and do best airline around hand down
38,neutral,Virgin America,when can i book my to hawaii
39,negative,Virgin America,your chat support be malfunction on your site
40,positive,Virgin America,view of downtown los angeles the hollywood sign and beyond that rain in the mountain
41,negative,Virgin America,hey first flyer next week excited but i m have a hard my add to my elevate account
42,neutral,Virgin America,plz me win my bid upgrade for my lax sea wine glass thumb up seat airplane
43,neutral,Virgin America,i have an unused ticket but move to a new city where you do how can i with you before it expire travelhelp
44,neutral,Virgin America,be leave dallas for seattle on feb
45,positive,Virgin America,i m elevategold for a good reason you rock
46,positive,Virgin America,wow this just blow my mind
47,neutral,Virgin America,i think agree
48,neutral,Virgin America,ladygaga all be entertain
49,neutral,Virgin America,be on it way be suppose to take off minute ago website still show on not in thanks
50,positive,Virgin America,julie andrews all the way though ladygaga be very impressive no to
51,neutral,Virgin America,wish you out of atlanta soon
52,neutral,Virgin America,ladygaga julie andrew hand down
53,neutral,Virgin America,will be leave dallas for la on february
54,negative,Virgin America,hi i m so excited about your lga dal deal but i be try book since last week the page never load thx
55,positive,Virgin America,you know it need it on my spotify stat guiltypleasures
56,positive,Virgin America,ladygaga i m lady gaga she be amaze smile face with smile eye
57,neutral,Virgin America,ladygaga carrie
58,neutral,Virgin America,new marketing song let us know what you think
59,neutral,Virgin America,ladygaga julie andrew first but lady gaga wow me last night carrie meh
60,negative,Virgin America,i call a week ago about add from to my elevate they still have show up
61,neutral,Virgin America,ladygaga all be great but i have to with carrieunderwood smile face with hearteyes ok hand
62,neutral,Virgin America,ladygaga sorry mary martin have it first
63,positive,Virgin America,ladygaga love all three but you really ca beat the classic
64,neutral,Virgin America,try to check in could not status please
65,negative,Virgin America,heyyyy guyyyys be try to through for an hour can someone call me please
66,negative,Virgin America,hi virgin i m on hold for minute be there any earlier from la to nyc tonight earlier than
67,positive,Virgin America,congrats on win the award for best deal from an airline us
68,negative,Virgin America,everything be fine until you lose my bag
69,neutral,Virgin America,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online
70,neutral,Virgin America,i email your customer service team let me know if you need the track number
71,neutral,Virgin America,hi i just book a but need to add baggage how can i do this
72,negative,Virgin America,your airline be awesome but your lax loft need to step up its game for dirty table and floor
73,positive,Virgin America,not worry it be a great ride in a new plane with great crew all airline should be like this
74,positive,Virgin America,awesome i yall sat morning any way we can correct my bill
75,neutral,Virgin America,first you all do you have a different ratepolicy for medium bag thanks
76,negative,Virgin America,what be on with customer service be there anyway to speak to a human asap you
77,neutral,Virgin America,what happen to doom
78,negative,Virgin America,why ca you supp the biz traveler like and have customer service like neverflyvirginforbusiness
